canonical_scientific_name,scientific_synonyms,canonical_common_name,common_name_synonyms,notes
Brachaelurus waddi,"Squalus waddi, Chiloscyllium modestum, Chiloscyllium furvum, Chiloscyllium fuscum, Scyliorhinus waddi",Blind Shark,"Blindshark, Brown Catshark, Dusky Dogfish",Endemic to eastern Australia; called 'blind' for habit of closing eyes out of water
Carcharhinus albimarginatus,"Carcharias albimarginatus, Eulamia albimarginata, Carcharhinus platyrhynchus, Eulamia platyrhynchus",Silvertip Shark,"Silver-tip Shark, Whitefin Shark",Indo-Pacific reef shark named for white-edged fins; formerly misidentified as 'platyrhynchus'
Carcharhinus amblyrhynchos,Carcharias amblyrhynchos,Grey Reef Shark,"Gray Reef Shark, Black-vee Whaler, Longnose Blacktail Shark",Common in Indo-Pacific reefs; sometimes called 'black-vee whaler' for tail marking
Carcharhinus brachyurus,"Carcharias brachyurus, Eulamia brachyurus",Bronze Whaler,"Copper Shark, Narrowtooth Shark, Bronzie","Coastal shark; 'bronze whaler' in Australia/NZ, 'copper shark' elsewhere"
Carcharhinus galapagensis,"Carcharias galapagensis, Eulamia galapagensis",Galapagos Shark,Galapagos Whaler Shark,Common around oceanic islands; similar to bronze whaler
Carcharhinus leucas,"Carcharias gangeticus, Carcharhinus hemiodon, Carcharias gangeticus",Bull Shark,"Zambezi Shark, River Shark, Swan River Whaler",Known as 'Zambezi' in Africa and 'River Whaler' in Australia
Carcharhinus melanopterus,"Carcharias melanopterus, Galeus melanopterus",Blacktip Reef Shark,Blacktip Shark,Common reef shark with distinctive black-tipped fins
Carcharhinus obscurus,"Carcharias obscurus, Eulamia obscura",Dusky Shark,"Dusky Whaler, Black Whaler",Historically also called 'dusky shark' or 'black whaler'
Carcharias taurus,Odontaspis taurus,Grey Nurse Shark,"Sand Tiger Shark, Ragged-tooth Shark",Known in Australia as 'grey nurse shark'; 'sand tiger' elsewhere
Carcharodon carcharias,Squalus carcharias,White Shark,"Great White Shark, White Pointer, White Death",'Great white shark' is the globally recognized common name
Galeocerdo cuvier,Squalus cuvier,Tiger Shark,Tiger Shark,Juveniles have stripes; widely distributed predator
Galeorhinus galeus,Galeus canis,School Shark,"Tope Shark, Soupfin Shark",Commonly sold as 'flake' in Australia
Heterodontus portusjacksoni,Squalus portusjacksoni,Port Jackson Shark,"Bullhead Shark, Horn Shark",Named after Port Jackson (Sydney); bottom dweller
Negaprion brevirostris,Hypoprion brevirostris,Lemon Shark,Lemon Shark,Common in tropical/subtropical waters; distinctive yellowish color
Notorynchus cepedianus,Squalus cepedianus,Broadnose Sevengill Shark,"Sevengill Shark, Cow Shark",Large shark with distinctive seven gills
Triaenodon obesus,Carcharias obesus,Whitetip Reef Shark,Whitetip Shark,Common reef shark in coral habitats; slender body
